especie,longitud,latitud
Panstrongylus geniculatus,-72.638923,6.431352
Panstrongylus geniculatus,-74.240000,5.530000
Panstrongylus geniculatus,-74.062778,5.548333
Panstrongylus geniculatus,-74.368611,5.903889
Panstrongylus geniculatus,-73.088611,5.232222
Panstrongylus geniculatus,-74.079167,5.651667
Panstrongylus geniculatus,-73.269444,4.896111
Panstrongylus geniculatus,-73.269444,4.896111
Panstrongylus geniculatus,-72.642222,6.216111
Panstrongylus geniculatus,-72.644444,6.230556
Panstrongylus geniculatus,-72.690833,6.404444
Panstrongylus geniculatus,-73.210000,5.246389
Panstrongylus geniculatus,-73.161667,5.263889
Panstrongylus geniculatus,-75.369452,1.371138
Panstrongylus geniculatus,-72.660779,5.056931
Panstrongylus geniculatus,-71.717021,6.156397
Panstrongylus geniculatus,-72.882222,4.748056
Panstrongylus geniculatus,-72.941235,4.867983
Panstrongylus geniculatus,-72.193120,5.693163
Panstrongylus geniculatus,-72.193120,5.693163
Panstrongylus geniculatus,-72.193120,5.693163
Panstrongylus geniculatus,-72.193120,5.693163
Panstrongylus geniculatus,-72.193120,5.693163
Panstrongylus geniculatus,-72.193120,5.693163
Panstrongylus geniculatus,-72.259903,5.576820
Panstrongylus geniculatus,-70.719722,5.635556
Panstrongylus geniculatus,-71.956944,5.967500
Panstrongylus geniculatus,-71.939022,5.741380
Panstrongylus geniculatus,-72.966981,4.898685
Panstrongylus geniculatus,-72.717194,4.970692
Panstrongylus geniculatus,-72.717194,4.970692
Panstrongylus geniculatus,-72.237349,5.745935
Panstrongylus geniculatus,-72.237349,5.745935
Panstrongylus geniculatus,-72.237349,5.745935
Panstrongylus geniculatus,-72.237349,5.745935
Panstrongylus geniculatus,-72.237349,5.745935
Panstrongylus geniculatus,-72.246389,5.764444
Panstrongylus geniculatus,-72.246389,5.764444
Panstrongylus geniculatus,-72.237349,5.745935
Panstrongylus geniculatus,-72.246389,5.764444
Panstrongylus geniculatus,-72.216741,5.856329
Panstrongylus geniculatus,-72.216741,5.856329
Panstrongylus geniculatus,-72.216741,5.856329
Panstrongylus geniculatus,-72.315876,5.950013
Panstrongylus geniculatus,-72.140556,5.873889
Panstrongylus geniculatus,-72.259297,5.705180
Panstrongylus geniculatus,-72.140556,5.873889
Panstrongylus geniculatus,-72.153998,5.763276
Panstrongylus geniculatus,-72.153998,5.763276
Panstrongylus geniculatus,-71.865480,5.532332
Panstrongylus geniculatus,-72.366389,5.387500
Panstrongylus geniculatus,-72.359556,5.518111
Panstrongylus geniculatus,-72.272583,5.368917
Panstrongylus geniculatus,-72.243889,5.501389
Panstrongylus geniculatus,-72.240000,5.372361
Panstrongylus geniculatus,-72.420333,5.472222
Panstrongylus geniculatus,-72.235000,5.540278
Panstrongylus geniculatus,-73.629833,8.313833
Panstrongylus geniculatus,-73.534110,9.371065
Panstrongylus geniculatus,-74.630000,4.361111
Panstrongylus geniculatus,-74.630000,4.361111
Panstrongylus geniculatus,-74.630000,4.361111
Panstrongylus geniculatus,-74.689167,4.367500
Panstrongylus geniculatus,-74.565556,4.534167
Panstrongylus geniculatus,-74.498056,4.525000
Panstrongylus geniculatus,-74.498056,4.525000
Panstrongylus geniculatus,-74.498056,4.525000
Panstrongylus geniculatus,-74.498056,4.525000
Panstrongylus geniculatus,-74.551111,4.547500
Panstrongylus geniculatus,-74.461667,5.501944
Panstrongylus geniculatus,-74.461667,5.501944
Panstrongylus geniculatus,-74.516944,5.413333
Panstrongylus geniculatus,-74.443611,4.666667
Panstrongylus geniculatus,-74.443611,4.666667
Panstrongylus geniculatus,-74.512500,4.672778
Panstrongylus geniculatus,-73.298333,4.546667
Panstrongylus geniculatus,-73.146944,4.479444
Panstrongylus geniculatus,-73.146944,4.479444
Panstrongylus geniculatus,-73.382222,4.351944
Panstrongylus geniculatus,-73.382222,4.351944
Panstrongylus geniculatus,-73.382222,4.351944
Panstrongylus geniculatus,-70.760472,5.239222
Panstrongylus geniculatus,-73.635278,11.138611
Panstrongylus geniculatus,-73.977648,8.991599
Panstrongylus geniculatus,-73.671609,3.986691
Panstrongylus geniculatus,-72.916074,4.485255
Panstrongylus geniculatus,-73.004987,4.579895
Panstrongylus geniculatus,-73.429501,3.741150
Panstrongylus geniculatus,-73.429501,3.741150
Panstrongylus geniculatus,-73.584864,3.811395
Panstrongylus geniculatus,-73.584864,3.811395
Panstrongylus geniculatus,-73.584864,3.811395
Panstrongylus geniculatus,-73.665852,3.821491
Panstrongylus geniculatus,-73.664148,3.847358
Panstrongylus geniculatus,-73.664148,3.847358
Panstrongylus geniculatus,-73.664148,3.847358
Panstrongylus geniculatus,-73.547889,4.294178
Panstrongylus geniculatus,-73.504633,4.275720
Panstrongylus geniculatus,-73.213732,4.227319
Panstrongylus geniculatus,-73.213732,4.227319
Panstrongylus geniculatus,-73.213732,4.227319
Panstrongylus geniculatus,-70.400000,5.483333
Panstrongylus geniculatus,-74.026655,3.459780
Panstrongylus geniculatus,-72.810000,7.693660
Panstrongylus geniculatus,-72.763300,7.700860
Panstrongylus geniculatus,-72.471700,8.035330
Panstrongylus geniculatus,-72.705000,7.697260
Panstrongylus geniculatus,-72.643300,7.774300
Panstrongylus geniculatus,-72.643300,7.774300
Panstrongylus geniculatus,-73.465000,8.493160
Panstrongylus geniculatus,-73.426700,8.504500
Panstrongylus geniculatus,-72.655000,8.123830
Panstrongylus geniculatus,-72.656700,7.863930
Panstrongylus geniculatus,-72.656700,7.863930
Panstrongylus geniculatus,-72.716700,7.864830
Panstrongylus geniculatus,-72.716700,7.864830
Panstrongylus geniculatus,-72.753300,7.890060
Panstrongylus geniculatus,-72.753300,7.890060
Panstrongylus geniculatus,-72.720000,8.232870
Panstrongylus geniculatus,-73.248300,8.628330
Panstrongylus geniculatus,-72.706608,6.548576
Panstrongylus geniculatus,-73.557229,6.650207
Panstrongylus geniculatus,-73.609580,6.310234
Panstrongylus geniculatus,-73.609580,6.310234
Panstrongylus geniculatus,-73.578320,6.273955
Panstrongylus geniculatus,-73.623547,6.298359
Panstrongylus geniculatus,-73.185000,7.470660
Panstrongylus geniculatus,-73.225000,7.534200
Panstrongylus geniculatus,-72.706700,6.617530
Panstrongylus geniculatus,-72.613823,6.458326
Panstrongylus geniculatus,-72.613823,6.458326
Panstrongylus geniculatus,-72.613823,6.458326
Panstrongylus geniculatus,-73.041656,6.940421
Panstrongylus geniculatus,-73.172122,6.532708
Panstrongylus geniculatus,-73.171269,7.221178
Panstrongylus geniculatus,-73.234805,7.250034
Panstrongylus geniculatus,-73.234805,7.250034
Panstrongylus geniculatus,-73.420932,7.354570
Panstrongylus geniculatus,-72.719423,6.634960
Panstrongylus geniculatus,-73.459289,6.853280
Panstrongylus geniculatus,-73.459289,6.853280
Panstrongylus geniculatus,-73.388402,6.865138
Panstrongylus geniculatus,-73.388402,6.865138
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.489566,6.801112
Panstrongylus geniculatus,-73.431152,6.849212
Panstrongylus geniculatus,-73.463921,6.806662
Panstrongylus geniculatus,-73.491860,6.937835
Panstrongylus geniculatus,-73.388036,6.816613
