especie,longitud,latitud
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.661667,6.183333
Rhodnius prolixus,-72.680556,6.158056
Rhodnius prolixus,-72.680556,6.158056
Rhodnius prolixus,-72.685556,6.336944
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.686667,6.320833
Rhodnius prolixus,-72.691111,6.280833
Rhodnius prolixus,-72.695556,6.316667
Rhodnius prolixus,-73.424722,5.004444
Rhodnius prolixus,-73.424722,5.004444
Rhodnius prolixus,-73.409444,5.004444
Rhodnius prolixus,-73.409444,5.004444
Rhodnius prolixus,-73.409444,5.004444
Rhodnius prolixus,-72.642222,6.216111
Rhodnius prolixus,-72.642222,6.216111
Rhodnius prolixus,-72.642222,6.216111
Rhodnius prolixus,-73.423611,5.048889
Rhodnius prolixus,-73.461389,5.032778
Rhodnius prolixus,-73.417778,5.020000
Rhodnius prolixus,-73.417778,5.020000
Rhodnius prolixus,-73.417778,5.020000
Rhodnius prolixus,-73.434722,5.081389
Rhodnius prolixus,-72.692500,6.439167
Rhodnius prolixus,-72.673889,6.448056
Rhodnius prolixus,-72.673889,6.448056
Rhodnius prolixus,-72.673889,6.448056
Rhodnius prolixus,-72.690833,6.404444
Rhodnius prolixus,-72.690833,6.404444
Rhodnius prolixus,-72.690833,6.404444
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-72.737778,6.411111
Rhodnius prolixus,-73.516944,5.941944
Rhodnius prolixus,-73.503889,5.901667
Rhodnius prolixus,-73.171667,5.285556
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.171944,5.318611
Rhodnius prolixus,-73.148056,5.316667
Rhodnius prolixus,-73.210000,5.246389
Rhodnius prolixus,-73.210000,5.246389
Rhodnius prolixus,-73.155000,5.243611
Rhodnius prolixus,-73.155000,5.243611
Rhodnius prolixus,-73.161667,5.263889
Rhodnius prolixus,-73.161667,5.263889
Rhodnius prolixus,-73.161667,5.263889
Rhodnius prolixus,-73.161667,5.263889
Rhodnius prolixus,-73.161667,5.263889
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.191944,5.313611
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.160833,5.301944
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-73.155000,5.297222
Rhodnius prolixus,-74.845010,1.341722
Rhodnius prolixus,-75.331713,1.573665
Rhodnius prolixus,-75.331713,1.573665
Rhodnius prolixus,-75.730984,1.563926
Rhodnius prolixus,-75.332753,1.255733
Rhodnius prolixus,-75.369452,1.371138
Rhodnius prolixus,-75.650850,1.293300
Rhodnius prolixus,-75.650850,1.293300
Rhodnius prolixus,-75.650850,1.293300
Rhodnius prolixus,-72.489373,4.954062
Rhodnius prolixus,-72.489373,4.954062
Rhodnius prolixus,-72.644365,5.093421
Rhodnius prolixus,-72.625314,5.225801
Rhodnius prolixus,-72.441254,5.210695
Rhodnius prolixus,-72.441254,5.210695
Rhodnius prolixus,-72.413057,5.085726
Rhodnius prolixus,-72.683094,5.279508
Rhodnius prolixus,-72.546842,4.986508
Rhodnius prolixus,-72.505231,5.223849
Rhodnius prolixus,-72.617793,4.999323
Rhodnius prolixus,-72.617793,4.999323
Rhodnius prolixus,-72.617793,4.999323
Rhodnius prolixus,-72.429106,5.157207
Rhodnius prolixus,-72.426785,5.028441
Rhodnius prolixus,-72.426785,5.028441
Rhodnius prolixus,-72.426785,5.028441
Rhodnius prolixus,-72.533945,5.292806
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.437455,4.879916
Rhodnius prolixus,-72.641986,5.030349
Rhodnius prolixus,-72.641986,5.030349
Rhodnius prolixus,-72.641986,5.030349
Rhodnius prolixus,-72.643716,5.124395
Rhodnius prolixus,-72.643716,5.124395
Rhodnius prolixus,-72.589254,5.024459
Rhodnius prolixus,-72.511477,4.927892
Rhodnius prolixus,-72.511477,4.927892
Rhodnius prolixus,-72.511477,4.927892
Rhodnius prolixus,-72.724988,5.153781
Rhodnius prolixus,-72.724988,5.153781
Rhodnius prolixus,-72.669862,5.217280
Rhodnius prolixus,-72.669862,5.217280
Rhodnius prolixus,-72.622795,5.098449
Rhodnius prolixus,-72.622795,5.098449
Rhodnius prolixus,-72.622795,5.098449
Rhodnius prolixus,-72.611088,5.073942
Rhodnius prolixus,-72.611088,5.073942
Rhodnius prolixus,-72.611088,5.073942
Rhodnius prolixus,-72.666848,5.274958
Rhodnius prolixus,-72.666848,5.274958
Rhodnius prolixus,-72.666848,5.274958
Rhodnius prolixus,-72.558068,5.243008
Rhodnius prolixus,-72.483965,5.098068
Rhodnius prolixus,-72.483965,5.098068
Rhodnius prolixus,-72.483965,5.098068
Rhodnius prolixus,-72.483965,5.098068
Rhodnius prolixus,-72.483965,5.098068
Rhodnius prolixus,-72.596710,5.202015
Rhodnius prolixus,-72.889471,5.180796
Rhodnius prolixus,-71.723348,6.002963
Rhodnius prolixus,-71.723348,6.002963
Rhodnius prolixus,-71.723348,6.002963
Rhodnius prolixus,-71.695650,5.882819
Rhodnius prolixus,-71.603749,5.879698
Rhodnius prolixus,-71.603749,5.879698
Rhodnius prolixus,-71.879838,5.961223
Rhodnius prolixus,-71.458523,5.987793
Rhodnius prolixus,-71.761193,5.904886
Rhodnius prolixus,-71.827271,5.948352
Rhodnius prolixus,-71.827271,5.948352
Rhodnius prolixus,-71.827271,5.948352
Rhodnius prolixus,-72.465847,4.712346
Rhodnius prolixus,-72.453333,4.702500
Rhodnius prolixus,-72.465847,4.712346
Rhodnius prolixus,-72.465847,4.712346
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
Rhodnius prolixus,-72.311774,4.757719
